target,feature_set,model,evaluation,replicate,bootstrap_sample_n,bootstrap_event_n,protocol,nominal_fraction,from_scenario,to_scenario,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_population_event_capture,to_population_event_capture,delta_population_event_capture
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,260182,348038,87856,43652,60643,16991,0.14432321629306355,0.20049923956886861,0.056176023275805065
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,33088,35182,2094,0.10939628380612312,0.1163195133240759,0.006923229517952781
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35182,37242,2060,0.1163195133240759,0.1231303312834755,0.006810817959399598
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,33088,37242,4154,0.10939628380612312,0.1231303312834755,0.013734047477352379
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,348038,348038,0,53461,56330,2869,0.1767539509356609,0.1862395027441645,0.009485551808503606
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,348038,348038,0,56330,60643,4313,0.1862395027441645,0.20049923956886861,0.014259736824704106
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,348038,348038,0,53461,60643,7182,0.1767539509356609,0.20049923956886861,0.023745288633207712
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,127266,170688,43422,26727,34709,7982,0.0883654036897441,0.11475567017126231,0.02639026648151821
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,170688,182779,12091,34709,38514,3805,0.11475567017126231,0.12733584606228923,0.012580175891026918
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,127266,182779,55513,26727,38514,11787,0.0883654036897441,0.12733584606228923,0.03897044237254513
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,240808,332170,91362,41405,54586,13181,0.13689413476162138,0.18047345103484758,0.0435793162732262
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,332170,362238,30068,54586,62376,7790,0.18047345103484758,0.20622892283277128,0.0257554717979237
target_preterm,landmark_strict,lightgbm,temporal_test_2023,2,3480382,302460,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,240808,362238,121430,41405,62376,20971,0.13689413476162138,0.20622892283277128,0.0693347880711499
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,130048,167032,36984,26989,34046,7057,0.08914498239494771,0.11245433586344028,0.02330935346849257
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,167032,174019,6987,34046,37050,3004,0.11245433586344028,0.12237658296835054,0.009922247104910256
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,130048,174019,43971,26989,37050,10061,0.08914498239494771,0.12237658296835054,0.033231600573402825
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,260095,334064,73969,43284,54328,11044,0.14296755781921958,0.1794460188800148,0.03647846106079522
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,334064,348038,13974,54328,60219,5891,0.1794460188800148,0.19890406072256683,0.019458041842552037
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,260095,348038,87943,43284,60219,16935,0.14296755781921958,0.19890406072256683,0.05593650290334726
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,32923,35020,2097,0.10874505374000014,0.11567146924565819,0.006926415505658048
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35020,37050,2030,0.11567146924565819,0.12237658296835054,0.006705113722692349
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,32923,37050,4127,0.10874505374000014,0.12237658296835054,0.013631529228350397
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,348038,348038,0,53280,55887,2607,0.1759844626330288,0.18459541409857508,0.008610951465546274
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,348038,348038,0,55887,60219,4332,0.18459541409857508,0.19890406072256683,0.014308646623991755
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,348038,348038,0,53280,60219,6939,0.1759844626330288,0.19890406072256683,0.02291959808953803
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,127229,171516,44287,26562,34675,8113,0.08773459640500209,0.1145319302139691,0.02679733380896701
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,171516,183459,11943,34675,38441,3766,0.1145319302139691,0.12697107222365353,0.012439142009684434
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,127229,183459,56230,26562,38441,11879,0.08773459640500209,0.12697107222365353,0.039236475818651445
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,240496,332773,92277,41077,54196,13119,0.13567781102809542,0.1790100213374555,0.043332210309360075
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,332773,362924,30151,54196,62066,7870,0.1790100213374555,0.20500472330671107,0.025994701969255574
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,240496,362924,122428,41077,62066,20989,0.13567781102809542,0.20500472330671107,0.06932691227861565
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,130056,167003,36947,27296,34372,7076,0.08991191952198059,0.1132199772058,0.02330805768381941
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,167003,174019,7016,34372,37440,3068,0.1132199772058,0.12332584506531921,0.01010586785951921
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,130056,174019,43963,27296,37440,10144,0.08991191952198059,0.12332584506531921,0.03341392554333862
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,260111,334007,73896,43835,54946,11111,0.14439071630444092,0.18098990072005955,0.03659918441561863
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.1,any_prenatal_care,all_record_upper_bound,334007,348038,14031,54946,60897,5951,0.18098990072005955,0.2005922539247528,0.01960235320469325
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,260111,348038,87927,43835,60897,17062,0.14439071630444092,0.2005922539247528,0.05620153762031188
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,174019,174019,0,33315,35394,2079,0.10973826197518989,0.11658640385261508,0.00684814187742519
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,174019,174019,0,35394,37440,2046,0.11658640385261508,0.12332584506531921,0.006739441212704131
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,174019,174019,0,33315,37440,4125,0.10973826197518989,0.12332584506531921,0.013587583090129321
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,348038,348038,0,53847,56521,2674,0.1773698391888954,0.1861778869908362,0.008808047801940805
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,348038,348038,0,56521,60897,4376,0.1861778869908362,0.2005922539247528,0.014414366933916595
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,348038,348038,0,53847,60897,7050,0.1773698391888954,0.2005922539247528,0.0232224147358574
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,127075,170868,43793,26793,34903,8110,0.08825505787486906,0.11496906971994757,0.026714011845078503
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,170868,183090,12222,34903,38808,3905,0.11496906971994757,0.12783198171193666,0.012862911991989093
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,127075,183090,56015,26793,38808,12015,0.08825505787486906,0.12783198171193666,0.039576923837067596
