target,feature_set,model,evaluation,replicate,bootstrap_sample_n,bootstrap_full_event_n,bootstrap_early_candidate_n,nominal_fraction,budget_lock,B_early,B_all,C00_early_Bearly,C10_all_Bearly,C01_early_Ball,C11_all_Ball,C00_tp,C10_tp,C01_tp,C11_tp,canonical_fixed_budget_C01_C11_crosscheck,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,17,3480382,302641,2602336,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14632187971887484,0.16638855938223837,0.17899094967304496,0.20381574208385514,44283,50356,54170,61683,PASS,0.020066679663363535,0.03266906995417013,0.004758112747446641,0.03266906995417013,0.024824792410810176,0.020066679663363535,0.03742718270161677,0.022445736037086855,0.03504812632789345,0.0574938623649803,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,18,3480382,302341,2600128,0.05,fixed_observed_point_absolute_counts,130053,174019,0.08984887924562002,0.09966560936161487,0.11015045924965519,0.12346324183620482,27165,30133,33303,37328,PASS,0.009816730115994848,0.020301580004035175,0.003496052470554775,0.020301580004035175,0.013312782586549624,0.009816730115994848,0.02379763247458995,0.011564756351272236,0.022049606239312562,0.0336143625905848,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,18,3480382,302341,2600128,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14552773193182533,0.16446991972640165,0.17850374246298054,0.2024072156935381,43999,49726,53969,61196,PASS,0.01894218779457632,0.0329760105311552,0.004961285435981233,0.0329760105311552,0.023903473230557554,0.01894218779457632,0.037937295967136436,0.021422830512566937,0.03545665324914582,0.05687948376171276,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,19,3480382,302377,2601777,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09072780006415831,0.0999116996332393,0.11163216779053962,0.12393799792973673,27434,30211,33755,37476,PASS,0.009183899569080986,0.02090436772638131,0.003121930570116116,0.02090436772638131,0.012305830139197102,0.009183899569080986,0.024026298296497425,0.010744864854139044,0.022465333011439367,0.03321019786557841,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,19,3480382,302377,2601777,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14698869292307284,0.16526719955552174,0.17990455623278226,0.2029585583559596,44446,49973,54399,61370,PASS,0.0182785066324489,0.032915863309709414,0.004775495490728449,0.032915863309709414,0.023054002123177347,0.0182785066324489,0.03769135880043786,0.020666254377813123,0.03530361105507364,0.05596986543288676,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,20,3480382,302361,2599406,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09115262881125542,0.10072727633524164,0.1115752362242485,0.1246225538346546,27561,30456,33736,37681,PASS,0.009574647523986221,0.02042260741299308,0.0034726700864198823,0.02042260741299308,0.013047317610406103,0.009574647523986221,0.023895277499412962,0.011310982567196162,0.02215894245620302,0.03346992502339918,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,20,3480382,302361,2599406,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14701300762995229,0.16558021702534387,0.1797685548070022,0.2033165652977732,44451,50065,54355,61475,PASS,0.018567209395391582,0.032755547177049926,0.004980801095379406,0.032755547177049926,0.023548010490770988,0.018567209395391582,0.03773634827242933,0.021057609943081285,0.03524594772473963,0.056303557667820914,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,21,3480382,303239,2600505,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09080626172754824,0.10043892771048579,0.11112356919789342,0.12441011875121603,27536,30457,33697,37726,PASS,0.00963266598293755,0.020317307470345172,0.003653883570385069,0.020317307470345172,0.013286549553322619,0.00963266598293755,0.02397119104073024,0.011459607768130084,0.022144249255537707,0.03360385702366779,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,21,3480382,303239,2600505,0.1,fixed_observed_point_absolute_counts,260106,348038,0.1466631930589403,0.16547673617179848,0.1790831654239725,0.20336434297699174,44474,50179,54305,61668,PASS,0.018813543112858183,0.03241997236503222,0.0054676344401610455,0.03241997236503222,0.02428117755301923,0.018813543112858183,0.037887606805193264,0.021547360332938706,0.03515378958511274,0.05670114991805145,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,22,3480382,302775,2601624,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09142432499380729,0.10067211625794732,0.1118090991660474,0.12453141771942862,27681,30481,33853,37705,PASS,0.009247791264140034,0.020384774172240105,0.0034745272892411916,0.020384774172240105,0.012722318553381226,0.009247791264140034,0.023859301461481297,0.01098505490876063,0.0221220378168607,0.03310709272562133,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,22,3480382,302775,2601624,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14692428370902486,0.16544959128065395,0.1794401783502601,0.20285030137891175,44485,50094,54330,61418,PASS,0.018525307571629096,0.03251589464123525,0.0048848154570225455,0.03251589464123525,0.02341012302865164,0.018525307571629096,0.037400710098257794,0.02096771530014037,0.03495830236974652,0.05592601766988689,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,23,3480382,303747,2601639,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09029224979999803,0.10025448811017064,0.11104307203034104,0.12392550379098394,27426,30452,33729,37642,PASS,0.009962238310172608,0.02075082223034301,0.0029201934504702876,0.02075082223034301,0.012882431760642896,0.009962238310172608,0.023671015680813298,0.011422335035407752,0.022210918955578154,0.033633253990985906,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,23,3480382,303747,2601639,0.1,fixed_observed_point_absolute_counts,260106,348038,0.14630926395980864,0.16542714825167,0.17886596410828748,0.2032217602149157,44441,50248,54330,61728,PASS,0.019117884291861342,0.032556700148478834,0.005237911814766877,0.032556700148478834,0.02435579610662822,0.019117884291861342,0.03779461196324571,0.02173684019924478,0.03517565605586227,0.05691249625510705,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,24,3480382,302678,2601483,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09010235299559267,0.09990815321893233,0.11065224429922228,0.12336872848373519,27272,30240,33492,37341,PASS,0.009805800223339656,0.020549891303629608,0.0029106839611732493,0.020549891303629608,0.012716484184512905,0.009805800223339656,0.023460575264802858,0.01126114220392628,0.022005233284216233,0.03326637548814251,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,24,3480382,302678,2601483,0.1,fixed_observed_point_absolute_counts,260106,348038,0.1463766775252909,0.16476916062614397,0.1789492463938575,0.20316309741705707,44305,49872,54164,61493,PASS,0.018392483100853063,0.032572568868566604,0.005821367922346499,0.032572568868566604,0.024213851023199562,0.018392483100853063,0.0383939367909131,0.021303167062026312,0.03548325282973985,0.056786419891766166,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,25,3480382,303433,2601469,0.05,fixed_observed_point_absolute_counts,130053,174019,0.09071195288581005,0.10078996022186117,0.11135901500495991,0.1248018508204447,27525,30583,33790,37869,PASS,0.010078007336051117,0.020647062119149864,0.0033648284794336736,0.020647062119149864,0.013442835815484791,0.010078007336051117,0.024011890598583538,0.011760421575767954,0.0223294763588667,0.034089897934634655,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,25,3480382,303433,2601469,0.1,fixed_observed_point_absolute_counts,260106,348038,0.1466386319220388,0.16587187286814553,0.17925209189508062,0.20403515767896044,44495,50331,54391,61911,PASS,0.019233240946106733,0.032613459973041825,0.005549824837773082,0.032613459973041825,0.024783065783879815,0.019233240946106733,0.03816328481081491,0.022008153364993274,0.035388372391928366,0.05739652575692164,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,26,3480382,302440,2601133,0.05,fixed_observed_point_absolute_counts,130053,174019,0.0902526120883481,0.10047943393730988,0.11104681920380902,0.12407419653484988,27296,30389,33585,37525,PASS,0.010226821848961773,0.020794207115460914,0.002800555482079095,0.020794207115460914,0.013027377331040868,0.010226821848961773,0.02359476259754001,0.01162709959000132,0.02219448485650046,0.03382158444650178,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,26,3480382,302440,2601133,0.1,fixed_observed_point_absolute_counts,260106,348038,0.1466009787065203,0.16523607988361327,0.17889168099457745,0.20357095622272187,44338,49974,54104,61568,PASS,0.018635101177092966,0.03229070228805714,0.006044174051051454,0.03229070228805714,0.02467927522814442,0.018635101177092966,0.03833487633910859,0.021657188202618693,0.035312789313582865,0.05696997751620156,0.0,0.0,0.0,0.0
