target,feature_set,model,evaluation,probability_type,bin,bin_n,event_n,mean_predicted_probability,observed_event_rate,absolute_gap,minimum_probability,maximum_probability,population,scenario
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,8,174019,11726,0.06842079261294169,0.06738344663513754,0.0010373459778041522,0.06686177987384657,0.07002170849648619,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,9,174019,12629,0.07163753475379936,0.0725725351829398,0.0009350004291404368,0.07002182463572862,0.0732698266865051,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,10,174020,12988,0.07494510269236196,0.07463509941386047,0.0003100032785014889,0.0732698266865051,0.0766672179168844,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,11,174019,13635,0.07842631429444881,0.07835351312213035,7.280117231846239e-05,0.0766672179168844,0.08025059246018944,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,12,174019,14126,0.08220453657949468,0.08117504410437941,0.0010294924751152734,0.08025059246018944,0.08419255147397985,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,13,174019,15032,0.0863983817133675,0.08638137214901821,1.700956434928791e-05,0.08419255147397985,0.08870638071866896,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,14,174019,15842,0.09124435357627102,0.09103603629488734,0.00020831728138367978,0.08870638071866896,0.09394946646309027,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,15,174019,16890,0.09699129616123953,0.09705836718978962,6.707102855009472e-05,0.09394946646309027,0.10023353474070731,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,16,174019,18143,0.10401351146949661,0.10425873036852298,0.0002452188990263726,0.10023370532171495,0.1081787561073204,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,17,174019,19510,0.1132621650545854,0.11211419442704532,0.0011479706275400875,0.1081787561073204,0.11904191928396524,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,18,174019,21756,0.12666718378925326,0.1250208310586775,0.0016463527305757564,0.11904220973949249,0.1357776817296388,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,19,174019,25886,0.14984532145343984,0.14875387170366455,0.0010914497497752917,0.13577773209026175,0.16888788436587268,singleton_primary,full_cohort
target_preterm,booking_strict,lightgbm,temporal_test_2023,calibrated,20,174020,38978,0.2287010404721845,0.22398574876450983,0.004715291707674679,0.16888867547370973,0.748442091112565,singleton_primary,full_cohort
