target,feature_set,model,evaluation,replicate,bootstrap_sample_n,bootstrap_event_n,protocol,nominal_fraction,from_scenario,to_scenario,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_population_event_capture,to_population_event_capture,delta_population_event_capture
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,129848,173160,43312,27227,35234,8007,0.08993109917622888,0.11637831374647403,0.026447214570245153
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,173160,184133,10973,35234,38818,3584,0.11637831374647403,0.1282163076292964,0.011837993882822362
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,129848,184133,54285,27227,38818,11591,0.08993109917622888,0.1282163076292964,0.038285208453067515
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.1,early_entry,any_prenatal_care,246273,335637,89364,42701,55703,13002,0.1410419020062493,0.1839876599483409,0.0429457579420916
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.1,any_prenatal_care,all_record_upper_bound,335637,362522,26885,55703,62893,7190,0.1839876599483409,0.20773631397107883,0.02374865402273793
target_preterm,landmark_strict,lightgbm,temporal_test_2023,3,3480382,302754,fixed_calibration_threshold,0.1,early_entry,all_record_upper_bound,246273,362522,116249,42701,62893,20192,0.1410419020062493,0.20773631397107883,0.06669441196482953
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.05,early_entry,any_prenatal_care,130056,167003,36947,27757,35001,7244,0.09143043486853808,0.11529187775457367,0.02386144288603559
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.05,any_prenatal_care,all_record_upper_bound,167003,174019,7016,35001,37978,2977,0.11529187775457367,0.12509799529622578,0.009806117541652115
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.05,early_entry,all_record_upper_bound,130056,174019,43963,27757,37978,10221,0.09143043486853808,0.12509799529622578,0.033667560427687704
target_preterm,landmark_strict,lightgbm,temporal_test_2023,4,3480382,303586,cohort_specific_top_fraction,0.1,early_entry,any_prenatal_care,260111,334007,73896,44814,56114,11300,0.14761550269116494,0.18483724545927677,0.037221742768111826
