target,feature_set,model,evaluation,protocol,nominal_fraction,from_scenario,to_scenario,from_eligible_n,to_eligible_n,from_selected_n,to_selected_n,delta_selected_n,from_true_positive_n,to_true_positive_n,delta_true_positive_n,from_precision,to_precision,delta_precision,from_recall_among_eligible,to_recall_among_eligible,delta_recall_among_eligible,from_population_event_capture,to_population_event_capture,delta_population_event_capture,from_event_availability_ceiling,to_event_availability_ceiling
target_nicu,landmark_strict,lightgbm,temporal_test_2023,cohort_specific_top_fraction,0.1,early_entry,all_record_upper_bound,2597274,3476584,259727,347658,87931,42252,59201,16949,0.16267850473766685,0.1702851653061342,0.007606660568467344,0.19727884803944457,0.1951992350429464,-0.0020796129964981702,0.13931450615757457,0.1951992350429464,0.055884728885371826,0.7061806551593386,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.05,early_entry,any_prenatal_care,2597274,3335329,173829,173829,0,31795,34271,2476,0.18290964108405386,0.19715352444068596,0.014243883356632098,0.14845406071698714,0.12269615775680591,-0.025757902960181225,0.10483538585818619,0.11299932406812074,0.008163938209934551,0.7061806551593386,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.05,any_prenatal_care,all_record_upper_bound,3335329,3476584,173829,173829,0,34271,35854,1583,0.19715352444068596,0.20626017522967974,0.009106650788993781,0.12269615775680591,0.1182188370674448,-0.004477320689361103,0.11299932406812074,0.1182188370674448,0.0052195129993240635,0.9209687257859769,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.05,early_entry,all_record_upper_bound,2597274,3476584,173829,173829,0,31795,35854,4059,0.18290964108405386,0.20626017522967974,0.02335053414562588,0.14845406071698714,0.1182188370674448,-0.030235223649542328,0.10483538585818619,0.1182188370674448,0.013383451209258615,0.7061806551593386,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.1,early_entry,any_prenatal_care,2597274,3335329,347658,347658,0,52160,56161,4001,0.15003250320717487,0.16154093965909025,0.011508436451915377,0.2435402990092168,0.20106617594409198,-0.042474123065124825,0.17198344791202994,0.18517565985788945,0.013192211945859511,0.7061806551593386,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.1,any_prenatal_care,all_record_upper_bound,3335329,3476584,347658,347658,0,56161,59201,3040,0.16154093965909025,0.1702851653061342,0.00874422564704394,0.20106617594409198,0.1951992350429464,-0.00586694090114559,0.18517565985788945,0.1951992350429464,0.010023575185056949,0.9209687257859769,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_absolute_budget,0.1,early_entry,all_record_upper_bound,2597274,3476584,347658,347658,0,52160,59201,7041,0.15003250320717487,0.1702851653061342,0.020252662098959318,0.2435402990092168,0.1951992350429464,-0.048341063966270414,0.17198344791202994,0.1951992350429464,0.02321578713091646,0.7061806551593386,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.05,early_entry,any_prenatal_care,2597274,3335329,133407,173008,39601,26286,34169,7883,0.19703613753401245,0.19749953759363728,0.00046340005962483555,0.12273198427446842,0.12233097996534391,-0.0004010043091245141,0.08667095306394974,0.11266300674283265,0.02599205367888291,0.7061806551593386,0.9209687257859769
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.05,any_prenatal_care,all_record_upper_bound,3335329,3476584,173008,183284,10276,34169,37241,3072,0.19749953759363728,0.20318740315575828,0.005687865562121003,0.12233097996534391,0.12279209324562705,0.000461113280283143,0.11266300674283265,0.12279209324562705,0.010129086502794399,0.9209687257859769,1.0
target_nicu,landmark_strict,lightgbm,temporal_test_2023,fixed_calibration_threshold,0.05,early_entry,all_record_upper_bound,2597274,3476584,133407,183284,49877,26286,37241,10955,0.19703613753401245,0.20318740315575828,0.006151265621745838,0.12273198427446842,0.12279209324562705,6.01089711586289e-05,0.08667095306394974,0.12279209324562705,0.03612114018167731,0.7061806551593386,1.0
