year,target,nominal_fraction,replicate,full_event_n,B_early,B_all,C00_tp,C01_tp,C10_tp,C11_tp,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error
2024,target_preterm,0.1,14,307844,260299,351278,44989,55554,51159,62854,0.020042618988838495,0.03431933057002898,0.0036706903496576126,0.03431933057002898,0.023713309338496108,0.020042618988838495,0.03799002091968659,0.0218779641636673,0.036154675744857784,0.058032639908525085,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,15,307454,130149,175639,27945,34448,31119,38736,0.010323495547301373,0.021151131551386537,0.003623306250691169,0.021151131551386537,0.013946801797992542,0.010323495547301373,0.024774437802077706,0.012135148672646957,0.02296278467673212,0.03509793334937908,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,15,307454,260299,351278,45047,55373,51377,63212,0.020588445751234336,0.03358551197902776,0.004908051285720777,0.03358551197902776,0.025496497036955112,0.020588445751234336,0.03849356326474854,0.023042471394094724,0.03603953762188815,0.05908200901598287,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,16,307578,130149,175639,27749,34105,30609,38272,0.00929845437580061,0.02066467692747856,0.0042493286255844,0.02066467692747856,0.013547783001385011,0.00929845437580061,0.02491400555306296,0.01142311868859281,0.02278934124027076,0.03421245992886357,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,16,307578,260299,351278,44583,55024,50812,62475,0.020251773533867812,0.03394586088731963,0.003972975960569364,0.03394586088731963,0.024224749494437176,0.020251773533867812,0.03791883684788899,0.022238261514152494,0.03593234886760431,0.058170610381756804,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,17,307197,130149,175639,27847,34399,30708,38370,0.00931324199129549,0.02132833328450473,0.003613316536294306,0.02132833328450473,0.012926558527589796,0.00931324199129549,0.024941649820799036,0.011119900259442643,0.023134991552651883,0.034254891812094526,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,17,307197,260299,351278,44702,55052,50898,62728,0.020169467800792318,0.03369173527085226,0.004817755381725741,0.03369173527085226,0.02498722318251806,0.020169467800792318,0.038509490652578,0.02257834549165519,0.03610061296171513,0.05867895845337032,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,18,307784,130149,175639,27917,34327,30874,38617,0.009607386998674389,0.020826293764458187,0.004330959374106519,0.020826293764458187,0.013938346372780908,0.009607386998674389,0.025157253138564706,0.011772866685727648,0.022991773451511446,0.034764640137239095,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,18,307784,260299,351278,45018,55422,51091,63120,0.019731370051724595,0.03380292672783511,0.005279676656356397,0.03380292672783511,0.02501104670808099,0.019731370051724595,0.039082603384191505,0.022371208379902793,0.03644276505601331,0.0588139734359161,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,19,308163,130149,175639,27622,34000,30572,38183,0.009572855923650786,0.020696839010523646,0.004001129272495407,0.020696839010523646,0.013573985196146193,0.009572855923650786,0.024697968283019053,0.01157342055989849,0.02269740364677135,0.03427082420666984,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,19,308163,260299,351278,44476,54836,50519,62289,0.019609751981905676,0.03361857198949905,0.004575500627914453,0.03361857198949905,0.02418525260982013,0.019609751981905676,0.038194072617413505,0.021897502295862903,0.03590632230345628,0.05780382459931918,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,20,307227,130149,175639,27578,34038,30417,38116,0.009240724285300442,0.021026797774935144,0.004032848675409387,0.021026797774935144,0.013273572960709829,0.009240724285300442,0.02505964645034453,0.011257148623005135,0.023043222112639837,0.03430037073564497,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,20,307227,260299,351278,44595,54933,50646,62456,0.019695534572156753,0.03364938628440861,0.0047912455610997495,0.03364938628440861,0.024486780133256503,0.019695534572156753,0.03844063184550836,0.022091157352706628,0.036045009064958486,0.058136166417665114,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,21,307838,130149,175639,27772,34341,30712,38407,0.009550477848738623,0.021339145914409524,0.0036577680468298235,0.021339145914409524,0.013208245895568446,0.009550477848738623,0.024996913961239348,0.011379361872153534,0.023168029937824436,0.03454739180997797,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,21,307838,260299,351278,44982,55462,51021,62943,0.01961746113215393,0.03404388022271454,0.004684281992476558,0.03404388022271454,0.024301743124630487,0.01961746113215393,0.0387281622151911,0.021959602128392208,0.03638602121895282,0.05834562334734503,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,22,308087,130149,175639,27737,34225,30718,38374,0.009675838318397079,0.02105898658495814,0.0037911369191170052,0.02105898658495814,0.013466975237514084,0.009675838318397079,0.024850123504075144,0.011571406777955581,0.022954555044516642,0.03452596182247222,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,22,308087,260299,351278,44867,55288,50855,62751,0.019436068383281324,0.033824861159347824,0.004787608694946599,0.033824861159347824,0.024223677078227923,0.019436068383281324,0.03861246985429442,0.021829872730754624,0.036218665506821124,0.05804853823757575,0.0,0.0,0.0,0.0
2024,target_preterm,0.05,23,307319,130149,175639,27593,33975,30714,38224,0.01015557124681521,0.020766695192942844,0.003670453177317373,0.020766695192942844,0.013826024424132582,0.01015557124681521,0.024437148370260217,0.011990797835473896,0.02260192178160153,0.034592719617075426,0.0,0.0,0.0,0.0
2024,target_preterm,0.1,23,307319,260299,351278,44502,54783,50677,62653,0.02009312798753085,0.0334538378687943,0.005515441609532795,0.0334538378687943,0.025608569597063646,0.02009312798753085,0.038969279478327096,0.02285084879229725,0.0362115586735607,0.05906240746585795,0.0,0.0,0.0,0.0
