target,feature_set,model,evaluation,bootstrap_method,replicates,confidence_level,nominal_fraction,metric,point_estimate,point_estimate_pp,bootstrap_mean,bootstrap_mean_pp,bootstrap_se,bootstrap_se_pp,ci_lower,ci_upper,ci_lower_pp,ci_upper_pp
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,ordered_availability_at_all_budget,0.02321578713091646,2.321578713091646,0.023274155992838625,2.3274155992838623,0.000539368483589123,0.0539368483589123,0.022217608149270825,0.024309681945886886,2.2217608149270824,2.4309681945886887
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,availability_at_early_budget,0.019061278995004677,1.9061278995004676,0.019026829278239666,1.9026829278239665,0.00047805470206488464,0.04780547020648846,0.01810223736692075,0.019933810604021943,1.810223736692075,1.9933810604021944
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,capacity_in_all_cohort,0.03682344989036715,3.682344989036715,0.03691836968587424,3.691836968587424,0.00031686992151696517,0.031686992151696514,0.03629134279028058,0.037472366690437985,3.629134279028058,3.7472366690437986
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,shapley_availability,0.02113853306296057,2.1138533062960567,0.021150492635539146,2.1150492635539146,0.0004585739912522314,0.04585739912522314,0.020308102641766947,0.022009261511502197,2.0308102641766945,2.20092615115022
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,shapley_capacity,0.03474619582241126,3.4746195822411257,0.03479470632857476,3.479470632857476,0.0002228358622101776,0.02228358622101776,0.03436379697885004,0.03520783721235638,3.4363796978850036,3.520783721235638
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.1,total_topq_contrast,0.055884728885371826,5.588472888537183,0.055945198964113915,5.594519896411391,0.00042713128138641094,0.042713128138641095,0.055065460381084314,0.056737808564678145,5.506546038108431,5.673780856467815
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C00_early_Bearly,0.09528829745339984,9.528829745339984,0.09527266012107513,9.527266012107512,0.0005265412487186901,0.05265412487186901,0.09422746230999343,0.09626576282415089,9.422746230999342,9.626576282415089
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C10_all_Bearly,0.10757416644788659,10.757416644788659,0.10755870485226302,10.755870485226302,0.0005716587404284588,0.057165874042845885,0.10645823778358013,0.10869075489093599,10.645823778358013,10.8690754890936
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C01_early_Ball,0.11862529535311105,11.862529535311104,0.11861944484270308,11.861944484270309,0.0005922750078935147,0.05922750078935147,0.11739353124636896,0.11971446046798444,11.739353124636896,11.971446046798444
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,C11_all_Ball,0.134927146232607,13.4927146232607,0.13491856617783074,13.491856617783075,0.0006253822787729766,0.06253822787729765,0.13366331875287665,0.13613035069676624,13.366331875287665,13.613035069676624
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,paired full-size record-level nonparametric bootstrap; B_early and B_all fixed to observed absolute counts,500,0.95,0.05,availability_main_at_early_budget,0.012285868994486748,1.2285868994486748,0.012286044731187886,1.2286044731187886,0.0004671330562140633,0.04671330562140633,0.011361925386464376,0.013185550028114378,1.1361925386464375,1.318555002811438
